"pos","Wine","Vintage","GWS","CI","NBJ","_id","_vintageId"
86,"Kapcsandy Family Winery, State Lane Vineyard Roberta'S Reserve, Napa Valley",2013,97.83,"C+",3,10365,16050642
15,"Kongsgaard, The Judge Chardonnay, White, Napa Valley",2005,99,"B",3,11638,1849413
77,"Kongsgaard, The Judge Chardonnay, White, Napa Valley",2013,97.94,"B",3,11638,10443499
58,"Lail Vineyards, J. Daniel Cuvee Cabernet Sauvignon, Napa Valley",2015,98.26,"C+",4,1807658,21799281
84,"Larkmead Vineyards, The Lark Cabernet Sauvignon, Napa Valley",2013,97.86,"B",3,,
56,"Lokoya Winery, Cabernet Sauvignon, Spring Mountain District",2015,98.3,"C+",4,83718,147273323
7,"Lokoya Winery, Mount Veeder Cabernet Sauvignon, Napa Valley",2015,99.5,"C+",4,,
96,"Paul Hobbs, Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Oakville",2013,97.71,"B",4,87360,13249150
31,"Peter Michael Winery, Au Paradis Cabernet Sauvignon, Oakville",2015,98.69,"C",3,3075039,78356173
59,"Quilceda Creek, Cabernet Sauvignon, Columbia Valley",2003,98.24,"B+",5,1145391,1180819
85,"Quilceda Creek, Cabernet Sauvignon, Columbia Valley",2009,97.84,"A+",6,1145391,1314532
4,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",2015,99.71,"C+",4,3715,19956848
93,"Rivers-Marie, Lore Vineyard Cabernet Sauvignon, Oakville",2016,97.76,"A+",3,1544712,145173248
45,"Robert Mondavi Winery, To Kalon Vineyard Reserve Cabernet Sauvignon, Oakville",2015,98.4,"C",3,4948838,148857137
48,"Scarecrow, Cabernet Sauvignon, Rutherford",2015,98.39,"B+",3,1611255,14187320
50,"Scarecrow, Cabernet Sauvignon, Rutherford",2014,98.37,"B+",4,1611255,3974206
68,"Scarecrow, Cabernet Sauvignon, Rutherford",2013,98.16,"B",3,1611255,6805758
67,"Schrader Cellars, Beckstoffer Las Piedras Vineyard Colesworthy Cabernet Sauvignon, Napa Valley",2013,98.17,"A",4,5013884,149715604
35,"Schrader Cellars, Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",2013,98.66,"A",4,1562648,24565752
64,"Schrader Cellars, Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",2012,98.2,"B+",3,1562648,15748678
46,"Schrader Cellars, Ccs Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",2013,98.39,"B",4,1562648,24565752
51,"Schrader Cellars, Ccs Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",2015,98.36,"B",3,1562648,153102712
80,"Schrader Cellars, Ccs Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",2005,97.92,"B",3,1562648,5003215
20,"Schrader Cellars, Old Sparky Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",2013,98.92,"B+",3,1144145,9010514
91,"Schrader Cellars, Old Sparky Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",2010,97.76,"B+",3,1144145,3771823
89,"Schrader Cellars, Rbs Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",2010,97.79,"A+",4,1562648,12747228
36,"Schrader Cellars, T6 Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",2006,98.65,"B",3,1562648,15863059
42,"Schrader Cellars, T6 Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",2015,98.44,"B",3,1562648,153102712
9,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",2016,99.43,"B",3,,
11,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",2010,99.31,"A",6,,
16,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",2012,98.98,"A",8,,
29,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",1992,98.74,"A",3,,
41,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",2007,98.46,"B",5,,
47,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",2013,98.39,"B+",8,,
65,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",2015,98.19,"B",4,,
75,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",2009,98.02,"B",5,,
30,"Venge Vineyards, Bone Ash Vineyard Cabernet Sauvignon, Napa Valley",2012,98.71,"C",3,1392968,6417283
10,"Verite, La Joie, Sonoma County",2015,99.37,"C+",4,10022,15842770
62,"Verite, La Joie, Sonoma County",2005,98.22,"B",4,10022,10656
13,"Verite, La Muse, Sonoma County",2007,99.04,"B",3,10021,1580997
54,"Verite, Le Desir, Sonoma County",2015,98.32,"A",4,10023,22564922
73,"Verite, Le Desir, Sonoma County",2012,98.04,"C+",3,10023,12511146
88,"Verite, Le Desir, Sonoma County",2007,97.82,"B",3,10023,1581160
94,"Altesino, Montosoli, Brunello Di Montalcino",2013,96.35,"C+",4,77472,6278907
36,"Bazzocchi Sanjust, Petrolo, Galatrona, Val d'Arno di Sopra",2004,97.17,"A+",5,,
54,"Bazzocchi Sanjust, Petrolo, Galatrona, Val d'Arno di Sopra",2007,96.92,"A",4,,
9,"Casanova Di Neri, Cerretalto, Brunello Di Montalcino",2010,98.86,"B",3,81836,1721111
59,"Casanova Di Neri, Cerretalto, Brunello Di Montalcino",2012,96.85,"B",5,81836,28986230
70,"Casanova Di Neri, Tenuta Nuova, Brunello Di Montalcino",2013,96.65,"B+",4,9712,1905168
79,"Casanova Di Neri, Tenuta Nuova, Brunello Di Montalcino",2006,96.49,"B+",6,9712,1198931
41,"Castello Dei Rampolla, Sammarco, Toscana",2010,97.11,"B",5,23390,2142940
51,"Castello Dei Rampolla, Vigna D'Alceo, Toscana",2010,96.93,"C+",5,1702712,7270785
53,"Castello Dei Rampolla, Vigna D'Alceo, Toscana",1999,96.92,"C+",3,1702712,2694682
57,"Castello Dei Rampolla, Vigna D'Alceo, Toscana",2007,96.89,"A",4,1702712,2994144
85,"Castello Dei Rampolla, Vigna D'Alceo, Toscana",2008,96.43,"C",3,1702712,2883157
48,"Castello Di Ama, Vigneto Bellavista, Chianti Classico Gran Selezione",1990,96.98,"B",3,1180658,1330016
27,"Dal Forno Romano, Vigneto Monte Lodoletta, Amarone Della Valpolicella Classico",2010,97.52,"B+",3,89750,1492543
56,"Elio Grasso, Gavarini Vigna Chiniera, Barolo",2008,96.89,"B+",3,22526,1415205
14,"Falletto Di Bruno Giacosa, Asili, Barbaresco Riserva",2007,98.18,"B+",4,5855091,155318930
15,"Falletto Di Bruno Giacosa, Asili, Barbaresco Riserva",2004,98.16,"C+",3,5855091,155771533
20,"Falletto Di Bruno Giacosa, Asili, Barbaresco Riserva",2000,97.88,"B",3,5855091,155578251
45,"Falletto Di Bruno Giacosa, Asili, Barbaresco Riserva",1996,97.02,"A",3,5855091,156884390
8,"Falletto Di Bruno Giacosa, Le Rocche Del Falletto, Barolo",2004,98.99,"B",4,1134557,2532986
10,"Falletto Di Bruno Giacosa, Le Rocche Del Falletto, Barolo",2007,98.85,"A",4,1134557,1356888
12,"Falletto Di Bruno Giacosa, Le Rocche Del Falletto, Barolo",2011,98.58,"B+",3,1134557,10875502
16,"Falletto Di Bruno Giacosa, Le Rocche Del Falletto, Barolo",2001,98.12,"B",3,1134557,2362577
76,"Fattoria Poggio Di Sotto, Brunello Di Montalcino Riserva",2010,96.53,"A",6,1458882,6751771
81,"Fattoria Poggio Di Sotto, Brunello Di Montalcino Riserva",2006,96.48,"A+",3,1458882,2058750
29,"Fontodi, Flaccianello della Pieve, Colli Toscana Centrale",2015,97.5,"C+",3,,
42,"Fontodi, Flaccianello della Pieve, Colli Toscana Centrale",2013,97.1,"B",4,,
93,"Fontodi, Flaccianello della Pieve, Colli Toscana Centrale",2010,96.37,"A",3,,
55,"Fuligni, Brunello Di Montalcino Riserva",2012,96.9,"C+",4,23272,4045260
90,"Gaja, Barbaresco, Barbaresco",1961,96.4,"C+",4,66104,1615102
86,"Gaja, Costa Russi, Langhe Barbaresco",1990,96.43,"B+",6,66114,1238174
91,"Gaja, Costa Russi, Langhe Barbaresco",2004,96.4,"B+",3,66114,83863
18,"Gaja, Sori San Lorenzo, Langhe Barbaresco",2007,98.07,"B",5,66144,1448126
43,"Gaja, Sori San Lorenzo, Langhe Barbaresco",1989,97.09,"B",4,66144,3628589
46,"Gaja, Sori San Lorenzo, Langhe Barbaresco",1997,97.01,"A",4,66144,83340
62,"Gaja, Sori San Lorenzo, Langhe Barbaresco",2010,96.75,"B+",5,66144,2665145
68,"Gaja, Sori San Lorenzo, Langhe Barbaresco",2001,96.67,"B+",4,66144,1218420
69,"Gaja, Sori San Lorenzo, Langhe Barbaresco",2013,96.67,"B",6,66144,3143044
83,"Gaja, Sori San Lorenzo, Langhe Barbaresco",1998,96.47,"B+",3,66144,1197154
87,"Gaja, Sori San Lorenzo, Langhe Barbaresco",1999,96.42,"B",5,66144,1291128
88,"Gaja, Sori San Lorenzo, Langhe Barbaresco",2015,96.41,"B",4,66144,17912087
89,"Gaja, Sori San Lorenzo, Langhe Barbaresco",2004,96.41,"C",3,66144,1216417
40,"Gaja, Sori Tildin, Langhe Rosso",2007,97.12,"B+",5,66134,1408103
99,"Gaja, Sori Tildin, Langhe Rosso",2010,96.23,"B+",5,66134,1774475
21,"Gaja, Sperss, Langhe",1997,97.85,"A+",4,66194,1190364
33,"Gaja, Sperss, Langhe",2007,97.21,"C+",3,66194,1274256
38,"Gaja, Sperss, Langhe",2006,97.14,"B+",4,66194,1201723
95,"Gaja, Sperss, Langhe",2010,96.35,"B",6,66194,2404649
96,"Gaja, Sperss, Langhe",2013,96.35,"A",7,66194,2207933
49,"Galardi, Terra di Lavoro, Roccamonfina",2001,96.98,"B",4,84062,1443753
52,"Giacomo Conterno, Francia, Barolo",2012,96.93,"B+",3,82203,5128110
5,"Giacomo Conterno, Monfortino, Barolo Riserva",2010,99.26,"A",8,82199,3889234
6,"Giacomo Conterno, Monfortino, Barolo Riserva",2006,99.13,"B+",4,82199,1638880
7,"Giacomo Conterno, Monfortino, Barolo Riserva",2013,99.02,"B+",3,82199,2459253
13,"Giacomo Conterno, Monfortino, Barolo Riserva",2008,98.53,"A+",4,82199,1243783
24,"Giacomo Conterno, Monfortino, Barolo Riserva",1999,97.76,"B",4,82199,1199466
44,"Giacomo Conterno, Monfortino, Barolo Riserva",2001,97.07,"C+",3,82199,120317
73,"Giacomo Conterno, Monfortino, Barolo Riserva",2002,96.58,"B",5,82199,1199465
77,"Giacomo Conterno, Monfortino, Barolo Riserva",2005,96.51,"A",4,82199,1537588
35,"Giuseppe Mascarello e Figlio, Monprivato, Barolo",2007,97.19,"A",3,1274818,1541416
71,"Giuseppe Mascarello e Figlio, Monprivato, Barolo",2008,96.63,"A",3,1274818,2055897
97,"Giuseppe Quintarelli, Amarone Della Valpolicella Classico",2007,96.33,"A+",3,84065,1503455
66,"Le Macchiole, Messorio, Toscana",2013,96.71,"B",6,16418,3301973
78,"Marchesi Antinori, Tenuta Guado al Tasso, Bolgheri",2015,96.51,"A+",4,1658,14222844
2,"Marchesi Antinori, Tenuta Tignanello, Solaia, Toscana",2015,99.82,"A+",4,,
4,"Marchesi Antinori, Tenuta Tignanello, Solaia, Toscana",2016,99.51,"B+",3,,
75,"Marchesi Antinori, Tenuta Tignanello, Solaia, Toscana",2010,96.55,"B",9,,
22,"Marchesi Antinori, Tenuta Tignanello, Tignanello, Toscana",2015,97.78,"B+",4,,
1,"Masseto, Toscana",2015,100,"A+",3,2446729,17261062
11,"Masseto, Toscana",2016,98.65,"C+",3,2446729,85345358
17,"Masseto, Toscana",2001,98.07,"C+",4,2446729,7201085
19,"Masseto, Toscana",2006,97.95,"B",6,2446729,6880159
23,"Masseto, Toscana",2010,97.77,"A",6,2446729,6457741
25,"Masseto, Toscana",2004,97.74,"C+",4,2446729,7372117
60,"Masseto, Toscana",2007,96.84,"C+",4,2446729,6410902
61,"Masseto, Toscana",2008,96.78,"C+",3,2446729,6659265
37,"Montevertine, Le Pergole Torte, Toscana",2013,97.16,"A",3,15292,3698729
92,"Montevertine, Le Pergole Torte, Toscana",2015,96.37,"B",3,15292,15510776
47,"Ornellaia, Bolgheri",2006,96.99,"A+",4,22447,23899
50,"Ornellaia, Bolgheri",2015,96.95,"C+",4,22447,14146987
82,"Ornellaia, Bolgheri",2010,96.47,"B+",5,22447,2645641
58,"Roberto Voerzio, Cerequio, Barolo",2007,96.86,"B",3,77305,1495198
67,"Roberto Voerzio, La Serra, Barolo",2007,96.7,"C+",3,77308,1275067
